,"time, s","msd_x_all, m^2","msd_y_all, m^2","msd_z_all, m^2","msd_all, m^2","msd_x_Cr, m^2","msd_y_Cr, m^2","msd_z_Cr, m^2","msd_Cr, m^2","msd_x_Ta, m^2","msd_y_Ta, m^2","msd_z_Ta, m^2","msd_Ta, m^2"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7.5e-11,9.210355267599875e-22,7.19093849763032e-22,1.0034161623065579e-21,2.6435455388295776e-21,8.746300020661674e-22,7.1998178293179615e-22,1.011714792301276e-21,2.6063265772992393e-21,1.0137559403572097e-21,7.173197176699745e-22,9.868351105788298e-22,2.717910768606014e-21
2,1.5e-10,1.0421428283856061e-21,9.490147283196381e-22,1.076729173949433e-21,3.0678867306546775e-21,1.1716377254016243e-21,1.0930625338338867e-21,1.2317916766929735e-21,3.496491935928484e-21,7.834059540743048e-22,6.612004606612863e-22,7.669070249130233e-22,2.2115134396486142e-21
3,2.25e-10,1.3111656895268289e-21,1.2334823028348357e-21,1.538297999157635e-21,4.0829459915193e-21,1.5291360637542172e-21,1.4742972695113354e-21,1.6570779161228232e-21,4.660511249388376e-21,8.756506644592152e-22,7.523227112136261e-22,1.300970157252581e-21,2.928943532925422e-21
4,3e-10,1.5251399136554508e-21,1.226885013757576e-21,1.7569664185329588e-21,4.5089913459459866e-21,1.7685516023603707e-21,1.4927589267972708e-21,1.971203261702315e-21,5.232513790859956e-21,1.0387919497001127e-21,6.956564726645925e-22,1.3289111635285616e-21,3.0633595858932673e-21
5,3.75e-10,1.6127048132451823e-21,1.3250944173697337e-21,1.46091205963803e-21,4.3987112902529454e-21,1.92875458762077e-21,1.6140162418524472e-21,1.7512888890734573e-21,5.294059718546675e-21,9.812225492095853e-22,7.47815068842749e-22,8.807255430121655e-22,2.6097631610645e-21
6,4.5e-10,1.7065806567722776e-21,1.5318444234909847e-21,1.5280224017740703e-21,4.766447482037332e-21,2.1118951606062307e-21,1.961284366601881e-21,1.8845631454012883e-21,5.957742672609401e-21,8.967432789946716e-22,6.73803287158081e-22,8.156372831595312e-22,2.386183849312284e-21
7,5.249999999999999e-10,1.9217619238860697e-21,2.0682595177454864e-21,1.6318874723321388e-21,5.621908913963695e-21,2.476284643421375e-21,2.649347693898556e-21,2.0405686448799578e-21,7.166200982199889e-21,8.137995370020519e-22,9.072181032833967e-22,8.153233326516319e-22,2.5363409729370805e-21
8,6e-10,2.0726619010677523e-21,2.266354593309356e-21,2.1395911332788356e-21,6.478607627655943e-21,2.66992839111254e-21,2.905116898344548e-21,2.5544211399435387e-21,8.129466429400627e-21,8.792954570915464e-22,9.900775658659933e-22,1.3107413348061963e-21,3.180114357763736e-21
9,6.75e-10,2.7431072838421418e-21,2.4233257680288976e-21,2.050593125548558e-21,7.217026177419597e-21,3.483522164222969e-21,3.116893884745475e-21,2.5375379541753247e-21,9.137954003143768e-21,1.2637236458937304e-21,1.037544159823703e-21,1.0776545324134366e-21,3.3789223381308703e-21
10,7.5e-10,2.634982743369194e-21,2.5313539675476848e-21,2.1766663546139882e-21,7.343003065530867e-21,3.462362222195896e-21,3.2688459797355392e-21,2.7995383477333536e-21,9.530746549664788e-21,9.81839761260375e-22,1.0578103572582807e-21,9.321389152368192e-22,2.971789033755475e-21
11,8.249999999999999e-10,2.8747854035971826e-21,2.7640921197369438e-21,2.3821956195745353e-21,8.021073142908663e-21,3.814904359559073e-21,3.641618091631886e-21,3.12123073107995e-21,1.0577753182270909e-20,9.963836615092653e-22,1.0107540938609169e-21,9.055688245158656e-22,2.912706579886048e-21
12,9e-10,3.303162320155401e-21,2.74634438295308e-21,2.5732890879855548e-21,8.622795791094036e-21,4.311872640974842e-21,3.601622312850612e-21,3.3288526588772205e-21,1.1242347612702672e-20,1.2877118158618705e-21,1.037458987864848e-21,1.0636376563016213e-21,3.3888084600283396e-21
13,9.75e-10,3.897221613174188e-21,3.0412924576487533e-21,3.2971268602529247e-21,1.0235640931075865e-20,5.180472162720876e-21,4.018439678060074e-21,4.222983105141322e-21,1.3421894945922272e-20,1.3332268628103932e-21,1.0889065074909782e-21,1.4472226834544268e-21,3.869356053755798e-21
14,1.0499999999999999e-09,4.0219078516645654e-21,9.536609968207955e-21,3.3706656552635645e-21,1.6929183475136088e-20,5.406787301103562e-21,1.0617862169308727e-20,4.31434175060587e-21,2.0338991221018157e-20,1.2548537954612623e-21,7.376217386711684e-21,1.4851565819526674e-21,1.0116227764125614e-20
15,1.125e-09,4.047699725531668e-21,7.894075797837532e-21,3.496625380241005e-21,1.5438400903610206e-20,5.4181883270938166e-21,8.839280262764099e-21,4.549860596761144e-21,1.880732918661906e-20,1.3093992579572972e-21,6.0055129704549606e-21,1.3922120472329929e-21,8.70712427564525e-21
16,1.2e-09,3.976740183760649e-21,8.804837294071994e-21,3.41520265088822e-21,1.6196780128720866e-20,5.309794893075062e-21,9.725864425320946e-21,4.423601925875592e-21,1.9459261244271598e-20,1.3132343876109525e-21,6.964581912689813e-21,1.4003736307474362e-21,9.678189931048203e-21
17,1.275e-09,4.329636768464143e-21,1.0576725989212037e-20,3.554246019537814e-21,1.846060877721399e-20,5.755678477604542e-21,1.1586169528027623e-20,4.636577509279786e-21,2.197842551491195e-20,1.4803385878965124e-21,8.559810480992612e-21,1.3916969687447709e-21,1.1431846037633895e-20
18,1.35e-09,4.770242511437757e-21,9.945342357104338e-21,3.5520303372931775e-21,1.826761520583527e-20,5.97459817126818e-21,1.1078125745469585e-20,4.7195921882276894e-21,2.1772316104965454e-20,2.3638834489250182e-21,7.68198804792924e-21,1.2191870296642596e-21,1.1265058526518517e-20
19,1.425e-09,4.556886449669253e-21,1.0819756327986172e-20,3.827232367742061e-21,1.9203875145397486e-20,5.8536284352290745e-21,1.1856998192693588e-20,4.975457895246419e-21,2.2686084523169084e-20,1.965935177740157e-21,8.747298461588347e-21,1.533023940716752e-21,1.2246257580045255e-20
20,1.5e-09,6.604630668597694e-21,1.0728920721424712e-20,3.817232976494086e-21,2.1150784366516495e-20,8.104586921728922e-21,1.1812464582739324e-20,5.073799625544122e-21,2.4990851130012368e-20,3.607647764392136e-21,8.56394929539962e-21,1.3065539101304397e-21,1.3478150969922196e-20
21,1.575e-09,4.971806349013627e-21,1.1889892844127772e-20,4.197483437524349e-21,2.1059182630665748e-20,6.487975148735223e-21,1.3190030994646019e-20,5.521934531413637e-21,2.5199940674794878e-20,1.9424300167573926e-21,9.292155875416508e-21,1.5511680682885257e-21,1.2785753960462427e-20
22,1.6499999999999999e-09,5.226303258049818e-21,1.2388025107677107e-20,4.83230053021549e-21,2.244662889594242e-20,6.884195695065485e-21,1.3703131248421125e-20,6.298009686619116e-21,2.6885336630105727e-20,1.9137564551845304e-21,9.760381392870211e-21,1.9037449306043384e-21,1.3577882778659082e-20
23,1.725e-09,5.4433749451770745e-21,1.1995477919152689e-20,4.561356936764526e-21,2.2000209801094286e-20,7.197851290101524e-21,1.3376075460145944e-20,6.14750175982927e-21,2.672142851007674e-20,1.9378489669393523e-21,9.236979316738431e-21,1.3921652297425878e-21,1.2566993513420371e-20
24,1.8e-09,5.581864680103335e-21,1.2003647965180639e-20,4.933321256582024e-21,2.2518833901865997e-20,7.478434286087147e-21,1.3511654092649117e-20,6.683792824470724e-21,2.767388120320699e-20,1.792429705647396e-21,8.9905810347114e-21,1.435797010585661e-21,1.2218807750944455e-20
25,1.875e-09,6.098288953274117e-21,1.201986147054915e-20,4.863551381895937e-21,2.2981701805719204e-20,8.15497033110832e-21,1.365114634066134e-20,6.538027661048845e-21,2.834414433281851e-20,1.9889431534217984e-21,8.760477833586713e-21,1.5178692850728417e-21,1.2267290272081353e-20
26,1.95e-09,6.68195803870409e-21,1.160540667138863e-20,5.393550650467473e-21,2.3680915360560192e-20,8.866850810832082e-21,1.3228518644962547e-20,7.377657410562699e-21,2.9473026866357326e-20,2.3164398631436728e-21,8.362352864814181e-21,1.4292123387928363e-21,1.2108005066750691e-20
27,2.025e-09,6.577762558200141e-21,1.1456893838979207e-20,5.799375617770362e-21,2.3834032014949708e-20,8.988616915999693e-21,1.3171768994055759e-20,7.703076623972393e-21,2.986346253402784e-20,1.760762542518613e-21,8.030492894363364e-21,1.9956917713940413e-21,1.1786947208276017e-20
28,2.0999999999999998e-09,6.999435189464095e-21,1.2115772029580358e-20,5.4899511940638876e-21,2.4605158413108343e-20,9.459807375125378e-21,1.3875443027307712e-20,7.407351726720444e-21,3.0742602129153534e-20,2.0834962325666446e-21,8.599866891543084e-21,1.6588950516661193e-21,1.2342258175775846e-20
29,2.175e-09,7.082929982320559e-21,1.169007601702065e-20,5.71762057734231e-21,2.4490626576683518e-20,9.547314443641572e-21,1.3524881681124678e-20,7.890243180763287e-21,3.0962439305529536e-20,2.158974310579556e-21,8.02404829362529e-21,1.3766187740226601e-21,1.1559641378227506e-20
30,2.25e-09,7.119401455239015e-21,1.254878223270139e-20,5.964693667408534e-21,2.563287735534894e-20,9.602717316223319e-21,1.44673793000417e-20,8.19183297988061e-21,3.226192959614563e-20,2.1576199595613936e-21,8.715335357917927e-21,1.514764923934056e-21,1.2387720241413376e-20
31,2.325e-09,7.65804089624828e-21,1.2386342916672706e-20,6.460299054436395e-21,2.6504682867357383e-20,1.0285198917581177e-20,1.425957630354755e-20,8.843169324843892e-21,3.338794454597262e-20,2.4088560215928996e-21,8.64353480188176e-21,1.6992125571182908e-21,1.2751603380592951e-20
32,2.4e-09,7.671960559438179e-21,1.2346593427342695e-20,6.747704693492035e-21,2.676625868027291e-20,1.038423244071834e-20,1.4239745738858557e-20,9.147939296069998e-21,3.3771917475646894e-20,2.2527142028959794e-21,8.563986367419399e-21,1.9519234465442682e-21,1.2768624016859647e-20
33,2.475e-09,7.519336846001071e-21,1.2035197032620104e-20,1.598725649392181e-20,3.554179037254299e-20,1.0127358885323776e-20,1.374295666436227e-20,1.8410715079786216e-20,4.228103062947226e-20,2.3083865604012107e-21,8.623013237166521e-21,1.1145072639743527e-20,2.2076472437311258e-20
34,2.55e-09,7.746452288586915e-21,6.639609671725502e-21,1.4868926817497493e-20,2.925498877780991e-20,1.0434967350325612e-20,8.801937850067611e-21,1.7237010855686566e-20,3.647391605607979e-20,2.3746731710894728e-21,2.3191766122646096e-21,1.0137383905256426e-20,1.483123368861051e-20
35,2.625e-09,8.304922865007701e-21,6.922686769985031e-21,1.5870994967194945e-20,3.109860460218767e-20,1.0933828735741402e-20,9.066686308762803e-21,1.8307116063961853e-20,3.8307631108466057e-20,3.0522457053190795e-21,2.638875191528664e-21,1.1003510822678255e-20,1.6694631719526e-20
36,2.7e-09,8.964390329501245e-21,6.955396952823723e-21,1.7791272353628047e-20,3.3711059635953014e-20,1.1674645772833338e-20,9.148661752189703e-21,2.011236053671007e-20,4.093566806173311e-20,3.549172910499817e-21,2.5731510744030206e-21,1.3153629362821575e-20,1.9275953347724412e-20
37,2.775e-09,8.127038030821285e-21,7.164891468094302e-21,1.6067363133252967e-20,3.1359292632168555e-20,1.074247572496801e-20,9.41205721037139e-21,1.8412992897107086e-20,3.856752583244649e-20,2.9012709192742174e-21,2.6749489791305043e-21,1.1380684913677255e-20,1.6956904812081976e-20
