,"time, s","r_all, m^2","x_all, m^2","y_all, m^2","z_all, m^2","r_2, m^2","x_2, m^2","y_2, m^2","z_2, m^2","r_5, m^2","x_5, m^2","y_5, m^2","z_5, m^2"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7.5e-11,3.2246054227174598e-21,1.00429847932058e-21,1.0234698750562192e-21,1.1968370683406588e-21,3.411777615136297e-21,1.064934440083534e-21,1.0845910711248571e-21,1.2622521039279037e-21,2.8506266085680997e-21,8.83144987405538e-22,9.013468602550146e-22,1.0661347609075506e-21
2,1.5e-10,4.408931148350681e-21,1.3291023858795373e-21,1.3660391046070038e-21,1.7137896578641377e-21,4.776717156090588e-21,1.4469592149528121e-21,1.4893405451564434e-21,1.84041739598133e-21,3.6740774649172306e-21,1.0936189168522721e-21,1.119677046634197e-21,1.4607815014307626e-21
3,2.25e-10,5.551889918897514e-21,1.625460569357516e-21,1.7069605230351845e-21,2.2194688265048143e-21,6.1003308925656456e-21,1.8007109356667333e-21,1.892556095988506e-21,2.4070638609104087e-21,4.456079145337954e-21,1.2753021226107844e-21,1.3361318684819673e-21,1.844645154245202e-21
4,3e-10,6.6445996313115285e-21,1.8898184842393588e-21,2.072620192386227e-21,2.6821609546859354e-21,7.374624087544964e-21,2.1227805091131416e-21,2.321750571420225e-21,2.930093007011593e-21,5.185976547860725e-21,1.4243494384466312e-21,1.574846017089776e-21,2.1867810923243155e-21
5,3.75e-10,7.725384903305354e-21,2.1637731216942825e-21,2.420096252481721e-21,3.141515529129356e-21,8.641690526433723e-21,2.4571495435717116e-21,2.735533887626708e-21,3.449007095235292e-21,5.894563316468816e-21,1.5775932787634022e-21,1.789837071322893e-21,2.5271329663825243e-21
6,4.5e-10,8.826671523264017e-21,2.427908408940912e-21,2.77593150277933e-21,3.622831611543774e-21,9.924203700013204e-21,2.7795654728508027e-21,3.1543565419017356e-21,3.990281685260676e-21,6.633750787298351e-21,1.725281111324086e-21,2.019820535939063e-21,2.88864914003521e-21
7,5.249999999999999e-10,9.894721136174241e-21,2.693121113129172e-21,3.1258733343957117e-21,4.0757266886493475e-21,1.1173369582265058e-20,3.102901727941496e-21,3.565390577064445e-21,4.505077277259112e-21,7.339921604238863e-21,1.8743602362678266e-21,2.247697281172828e-21,3.2178640867982155e-21
8,6e-10,1.0967039743714124e-20,2.9726667413267005e-21,3.479487495403551e-21,4.51488550698387e-21,1.2427826204572959e-20,3.440152228918702e-21,3.982962725586045e-21,5.004711250068201e-21,8.048319920552821e-21,2.038608823735654e-21,2.47352038509751e-21,3.536190711719657e-21
9,6.75e-10,1.2111437720699885e-20,3.2569434967107775e-21,3.852653227157702e-21,5.001840996831391e-21,1.3749649629267408e-20,3.7795617300113484e-21,4.419660667663643e-21,5.550427231592425e-21,8.838213536198727e-21,2.2127277688465573e-21,2.719745782553064e-21,3.9057399847990906e-21
10,7.5e-10,1.322579324991333e-20,3.553332364979909e-21,4.2002284458987474e-21,5.472232439034684e-21,1.5046827240595954e-20,4.134001611947657e-21,4.832511423081781e-21,6.080314205566526e-21,9.587281975561136e-21,2.393127990667396e-21,2.936897419222485e-21,4.257256565671257e-21
11,8.249999999999999e-10,1.4241508276912472e-20,3.803116509051789e-21,4.5621643327271675e-21,5.87622743513351e-21,1.6239667655493554e-20,4.440160002010125e-21,5.254418379455076e-21,6.545089274028374e-21,1.0249092174786587e-20,2.5302737487073092e-21,3.179008297956381e-21,4.539810128122895e-21
12,9e-10,1.535774333690359e-20,4.0563105356143846e-21,4.922005630299312e-21,6.379427170989895e-21,1.7536547344619492e-20,4.750488858963034e-21,5.678388082695221e-21,7.107670402961244e-21,1.100439079804932e-20,2.6693097059548806e-21,3.410718034984806e-21,4.924363057109638e-21
13,9.75e-10,1.6395332079011303e-20,4.3011228499881575e-21,5.2336373484735265e-21,6.860571880549618e-21,1.8754026015969583e-20,5.0500388451493616e-21,6.052779692680106e-21,7.651207478140118e-21,1.1682551029190373e-20,2.8047535862188054e-21,3.596952547451403e-21,5.280844895520155e-21
14,1.0499999999999999e-09,1.7458628467667118e-20,4.574352574161404e-21,5.566125964717463e-21,7.318149928788244e-21,1.9998026773356578e-20,5.381045471111865e-21,6.448192741638894e-21,8.168788560605828e-21,1.2384791618603943e-20,2.9625423523248417e-21,3.803715197548274e-21,5.618534068730829e-21
15,1.125e-09,1.8473185147601e-20,4.8481947553340516e-21,5.889063636162276e-21,7.735926756104683e-21,2.11949230702237e-20,5.711463260888398e-21,6.836214058361742e-21,8.647245750973579e-21,1.3035025196735728e-20,3.123343815525269e-21,3.9966126949317346e-21,5.915068686278718e-21
16,1.2e-09,1.9404110877070748e-20,5.112693704979006e-21,6.215055318532431e-21,8.076361853559307e-21,2.2302113456077697e-20,6.030316725377358e-21,7.226070167793697e-21,9.045726562906641e-21,1.3613765880343947e-20,3.2792398966440035e-21,4.195000258387364e-21,6.139525725312587e-21
17,1.275e-09,2.0302387406525546e-20,5.3993995699223726e-21,6.522512892513057e-21,8.380474944090124e-21,2.3378610898267015e-20,6.371520556496728e-21,7.599238668587391e-21,9.407851673182891e-21,1.4155948672049983e-20,3.457056270575553e-21,4.3711643203958e-21,6.327728081078624e-21
18,1.35e-09,2.118568032359072e-20,5.701635724736047e-21,6.845613855883262e-21,8.638430742971409e-21,2.44404961548365e-20,6.728935857452863e-21,7.987471164573687e-21,9.724089132809938e-21,1.4682405723269585e-20,3.649041904874138e-21,4.564129428558439e-21,6.4692343898369995e-21
19,1.425e-09,2.2063307135728043e-20,5.976393025254881e-21,7.181677522493222e-21,8.90523658797993e-21,2.549813056091178e-20,7.059777958263988e-21,8.386911907703484e-21,1.00514406949443e-20,1.520036892486287e-20,3.81173914543395e-21,4.773562725481324e-21,6.615067053947581e-21
20,1.5e-09,2.2862493390029618e-20,6.224481160066807e-21,7.478722320412674e-21,9.159289909550139e-21,2.6474684625740616e-20,7.362483968861463e-21,8.748733578190962e-21,1.0363467078688211e-20,1.5645165979614807e-20,3.950698204213418e-21,4.9411802955939415e-21,6.753287479807465e-21
21,1.575e-09,2.3668681589167345e-20,6.440833036191065e-21,7.75266978349855e-21,9.475178769477715e-21,2.74588478554142e-20,7.634138172366364e-21,9.086034391797992e-21,1.0738675291249838e-20,1.6095751725162383e-20,4.056553437934572e-21,5.088544794650246e-21,6.950653492577559e-21
22,1.6499999999999999e-09,2.4487217544459724e-20,6.66170097167471e-21,8.040275658996064e-21,9.78524091378896e-21,2.845815505340756e-20,7.91107723734059e-21,9.438704216667941e-21,1.1108373599399027e-20,1.655309826388623e-20,4.165388628361811e-21,5.246149849429013e-21,7.141559786095411e-21
23,1.725e-09,2.5258206520442288e-20,6.891461835063471e-21,8.319716870356373e-21,1.0047027815022429e-20,2.9406300173256005e-20,8.198895692074652e-21,9.779667672509586e-21,1.1427736808671764e-20,1.697012096023051e-20,4.279147702793107e-21,5.402666732460441e-21,7.288306524976942e-21
24,1.8e-09,2.60184504862272e-20,7.152920236551268e-21,8.611264837916606e-21,1.0254265411759324e-20,3.034485464456881e-20,8.513923619039385e-21,1.0135474634600758e-20,1.1695456390928631e-20,1.7374092177665776e-20,4.4335716813064355e-21,5.565822216807468e-21,7.374698279551867e-21
25,1.875e-09,2.678240894284224e-20,7.390218480470782e-21,8.927806844589967e-21,1.0464383617781483e-20,3.128901138669134e-20,8.805430238563478e-21,1.0517550122500285e-20,1.196603102562756e-20,1.7778006013042204e-20,4.562559049750415e-21,5.751425256108979e-21,7.464021707182766e-21
26,1.95e-09,2.7602738829821793e-20,7.650302221797443e-21,9.247583504744163e-21,1.0704853103280176e-20,3.2285377162112454e-20,9.118977702549444e-21,1.0900670330623048e-20,1.226572912893992e-20,1.824660794323324e-20,4.71581976709175e-21,5.9446385381932344e-21,7.586149637948283e-21
27,2.025e-09,2.8407238373420334e-20,7.872878329577704e-21,9.566734169159164e-21,1.0967625874683478e-20,3.3265078636968214e-20,9.392928475846469e-21,1.1284005009146272e-20,1.2588145151975478e-20,1.870104581558936e-20,4.835746884982113e-21,6.135546533794292e-21,7.729752396812945e-21
28,2.0999999999999998e-09,2.92301534972019e-20,8.111157109304316e-21,9.908540067493307e-21,1.1210456320404283e-20,3.4264835733321956e-20,9.685626614713251e-21,1.1692396083684022e-20,1.2886813034924661e-20,1.9170622388704227e-20,4.9652932342391785e-21,6.344312128893472e-21,7.861017025571597e-21
