,"time, s","msd_all, m^2","msd_x_all, m^2","msd_y_all, m^2","msd_z_all, m^2","msd_Cr, m^2","msd_x_Cr, m^2","msd_y_Cr, m^2","msd_z_Cr, m^2","msd_Ta, m^2","msd_x_Ta, m^2","msd_y_Ta, m^2","msd_z_Ta, m^2"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7.5e-11,2.2900794836998394e-21,7.626975773561612e-22,7.61334127465534e-22,7.660477788781427e-22,2.4781291365562524e-21,8.237380376308409e-22,8.225768952317791e-22,8.318142036936347e-22,1.9143474624652397e-21,6.4073587645577555e-22,6.389682067138389e-22,6.346433792956239e-22
2,1.5e-10,2.9007101529077757e-21,9.6663256654991e-22,9.651482128550468e-22,9.689293735028177e-22,3.268674456365802e-21,1.0854050145039114e-21,1.088146459328498e-21,1.0951229825333966e-21,2.1655002262719053e-21,7.293196480793182e-22,7.193919508582909e-22,7.167886273342979e-22
3,2.25e-10,3.501009288623623e-21,1.1683746611014273e-21,1.1652285680792552e-21,1.1674060594429404e-21,4.048601369531091e-21,1.3450724770943615e-21,1.3494974583840658e-21,1.3540314340526613e-21,2.406894642591711e-21,8.153241420374179e-22,7.970506876460111e-22,7.945198129082808e-22
4,3e-10,4.109146500552455e-21,1.3695710517599708e-21,1.3679719999728898e-21,1.3716034488195965e-21,4.8374785021109154e-21,1.604703603040902e-21,1.6140748375673583e-21,1.618700061502654e-21,2.653905020876089e-21,8.997651924623292e-22,8.762469943886324e-22,8.778928340251292e-22
5,3.75e-10,4.71753203288755e-21,1.5718535222189433e-21,1.5718906751256434e-21,1.573787835542966e-21,5.629867575303168e-21,1.8666160768886314e-21,1.8811354433656255e-21,1.8821160550489126e-21,2.894642853412598e-21,9.829041209941517e-22,9.540051323336513e-22,9.577336000847965e-22
6,4.5e-10,5.327979319265554e-21,1.7761473443549872e-21,1.773807738434506e-21,1.7780242364760626e-21,6.4214668397062994e-21,2.128744263768541e-21,2.145671854104417e-21,2.1470507218333397e-21,3.1431399961974315e-21,1.0716421713861101e-21,1.0308058041956045e-21,1.0406920206157237e-21
7,5.249999999999999e-10,5.932565900245145e-21,1.975791175567273e-21,1.97643287750138e-21,1.9803418471764836e-21,7.205520102054786e-21,2.385307614213447e-21,2.408416451186905e-21,2.411796036654425e-21,3.389143735301276e-21,1.1575581350691562e-21,1.11330944804769e-21,1.1182761521844313e-21
8,6e-10,6.542610941564613e-21,2.1766361231275183e-21,2.1801093765773298e-21,2.1858654418597635e-21,7.996365264533793e-21,2.6438778896009106e-21,2.673406154410928e-21,2.6790812205219513e-21,3.6379416595382885e-21,1.2430651717558741e-21,1.1944792911793349e-21,1.2003971966030803e-21
9,6.75e-10,7.150028513855004e-21,2.377268641680282e-21,2.3811754178358353e-21,2.3915844543388886e-21,8.780852837298058e-21,2.900018726422955e-21,2.935803657404708e-21,2.945030453470393e-21,3.891565070725638e-21,1.3327894684542055e-21,1.2730021969785058e-21,1.2857734052929295e-21
