,"time, s","x_all, m^2","y_all, m^2","z_all, m^2","r_all, m^2","x_2, m^2","y_2, m^2","z_2, m^2","r_2, m^2","x_5, m^2","y_5, m^2","z_5, m^2","r_5, m^2"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7.5e-11,8.360351008597985e-22,7.061428137284872e-22,7.825001290625059e-22,2.324678043650792e-21,7.939833865813551e-22,7.088136615391401e-22,7.96430268440512e-22,2.2992273165610073e-21,9.200563971622352e-22,7.0080633460681165e-22,7.546670576099664e-22,2.3755297893790135e-21
2,1.5e-10,1.0218283790981565e-21,9.490206039419625e-22,9.800972569043346e-22,2.9509462399444536e-21,1.1561217206125795e-21,1.093080187988714e-21,1.1400641419206359e-21,3.38926605052193e-21,7.5350398775195655e-22,6.6118280222355035e-22,6.604759221940299e-22,2.0751627121695367e-21
3,2.25e-10,1.2923701338446223e-21,1.177027718520325e-21,1.0849312542372104e-21,3.554329106602158e-21,1.5117268379137163e-21,1.416584337255245e-21,1.2311236460795014e-21,4.1594348212484635e-21,8.540851567690686e-22,6.983823650714516e-22,7.928320025679451e-22,2.3452995244084655e-21
4,3e-10,1.3091059597892523e-21,1.2261551762444024e-21,1.2362108020582045e-21,3.771471938091859e-21,1.5585423767692363e-21,1.491697562772354e-21,1.4658169294094355e-21,4.516056868951026e-21,8.107203063311985e-22,6.955890406621871e-22,7.774469968232245e-22,2.28375634381661e-21
5,3.75e-10,1.50140870192318e-21,1.3250612154137067e-21,1.3641248995986949e-21,4.190594816935582e-21,1.824788252099718e-21,1.6139564117645555e-21,1.6710952225085908e-21,5.1098398863728645e-21,8.552812022540431e-22,7.478350711423809e-22,7.507838051908361e-22,2.3539000785872603e-21
6,4.5e-10,1.663736059092732e-21,1.5318478610168832e-21,1.5035366684647294e-21,4.699120588574344e-21,2.075099214950158e-21,1.961291922336431e-21,1.863561202711048e-21,5.899952339997637e-21,8.418131910416629e-22,6.737984963100535e-22,7.841907728905425e-22,2.299802460242259e-21
7,5.249999999999999e-10,1.9198977953188014e-21,1.9896064529157835e-21,1.629922034562992e-21,5.539426282797576e-21,2.4742799497766016e-21,2.578995925136341e-21,2.0372230584678137e-21,7.090498933380756e-21,8.1221626404862635e-22,8.1197865978759775e-22,8.161154965656625e-22,2.4403104204018864e-21
8,6e-10,2.0622581562086776e-21,2.2481208885472573e-21,1.7586122154221074e-21,6.068991260178043e-21,2.656574845778017e-21,2.88539896388094e-21,2.2180613051629337e-21,7.76003511482189e-21,8.747855518543137e-22,9.748094216207793e-22,8.40611397443855e-22,2.6902063709189482e-21
9,6.75e-10,2.4338409684134042e-21,2.4215364766280566e-21,1.800541872696566e-21,6.655919317738027e-21,3.1936543247628896e-21,3.1142065306672035e-21,2.3261670733016303e-21,8.634027928731724e-21,9.156982661760542e-22,1.0375492397490568e-21,7.503180832063673e-22,2.703565589131478e-21
10,7.5e-10,2.6351495244103058e-21,2.5281695502922748e-21,2.096142322243772e-21,7.259461396946351e-21,3.4633559797293495e-21,3.2662371396140093e-21,2.735068555689453e-21,9.464661675032811e-21,9.803542045052649e-22,1.0534759099091983e-21,8.195377581521087e-22,2.853367872566572e-21
11,8.249999999999999e-10,2.8338399955890174e-21,2.7560370594504476e-21,2.354835519212159e-21,7.944712574251624e-21,3.762275234065241e-21,3.632904126378526e-21,3.106028769083197e-21,1.0501208129526964e-20,9.787828687117196e-22,1.0040155565843857e-21,8.539161937862392e-22,2.8367146190823446e-21
12,9e-10,3.0869920599117294e-21,2.7383336947880197e-21,2.4844949235549786e-21,8.309820678254728e-21,4.075721995544682e-21,3.594025926841506e-21,3.2319029020988195e-21,1.0901650824485007e-20,1.1114633018013592e-21,1.0286205045717757e-21,9.911387476753909e-22,3.1312225540485255e-21
13,9.75e-10,3.571695637071642e-21,3.0411945596828203e-21,2.937453525400242e-21,9.550343722154705e-21,4.813446078004993e-21,4.018279503388884e-21,3.86746379668436e-21,1.2699189378078238e-20,1.090620049034888e-21,1.0889330413013694e-21,1.0792494091431077e-21,3.2588024994793652e-21
14,1.0499999999999999e-09,3.9185422602307695e-21,3.291399393498003e-21,3.1010095249220638e-21,1.0310951178650835e-20,5.284565121805232e-21,4.3091547763412205e-21,4.053997009046532e-21,1.3647716907192983e-20,1.1891645504833555e-21,1.2578764312936814e-21,1.196895860353058e-21,3.6439368421300946e-21
15,1.125e-09,3.972598201458703e-21,3.259356398278991e-21,3.251179455655089e-21,1.0483134055392781e-20,5.3170195269963374e-21,4.153022757691484e-21,4.3213722866089036e-21,1.3791414571296726e-20,1.2863813732848755e-21,1.4737691215622304e-21,1.1128840141204186e-21,3.873034508967524e-21
16,1.2e-09,3.977633807721017e-21,3.466339412312738e-21,3.2268985081858742e-21,1.0670871728219628e-20,5.31206956228199e-21,4.451237493656608e-21,4.262526369510551e-21,1.402583342544915e-20,1.3113686184322003e-21,1.4984668786901224e-21,1.1576654962031694e-21,3.967500993325492e-21
17,1.275e-09,4.285994938278229e-21,3.647482165563343e-21,3.355152794041474e-21,1.1288629897883044e-20,5.6949549374289235e-21,4.6501199797303976e-21,4.464432714986803e-21,1.4809507632146124e-20,1.4708268149751824e-21,1.6441648142100274e-21,1.1387595144964133e-21,4.2537511436816234e-21
